
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
163.159,µm,Surface,Image 1,1,1988,
112.137,µm,Surface,Image 1,1,1990,
153.223,µm,Surface,Image 1,1,1992,
24.2209,µm,Surface,Image 1,1,1993,
67.2919,µm,Surface,Image 1,1,1997,
66.9483,µm,Surface,Image 1,1,2001,
155.745,µm,Surface,Image 1,1,2006,
93.429,µm,Surface,Image 1,1,2010,
26.0396,µm,Surface,Image 1,1,2013,
67.8784,µm,Surface,Image 1,1,2016,
68.4464,µm,Surface,Image 1,1,2020,
42.0646,µm,Surface,Image 1,1,2021,
69.8925,µm,Surface,Image 1,1,2023,
99.215,µm,Surface,Image 1,1,2025,
53.9805,µm,Surface,Image 1,1,2026,
98.6622,µm,Surface,Image 1,1,2030,
21.4811,µm,Surface,Image 1,1,2031,
107.59,µm,Surface,Image 1,1,2035,
127.793,µm,Surface,Image 1,1,2040,
130.672,µm,Surface,Image 1,1,2050,
63.6443,µm,Surface,Image 1,1,2051,
78.812,µm,Surface,Image 1,1,2052,
89.3752,µm,Surface,Image 1,1,2054,
119.627,µm,Surface,Image 1,1,2055,
86.1702,µm,Surface,Image 1,1,2058,
79.4057,µm,Surface,Image 1,1,2061,
78.1499,µm,Surface,Image 1,1,2064,
115.268,µm,Surface,Image 1,1,2065,
22.096,µm,Surface,Image 1,1,2068,
24.708,µm,Surface,Image 1,1,2070,
94.4751,µm,Surface,Image 1,1,2074,
99.5642,µm,Surface,Image 1,1,2076,
53.0839,µm,Surface,Image 1,1,2079,
82.8685,µm,Surface,Image 1,1,2090,
42.3193,µm,Surface,Image 1,1,2092,
37.394,µm,Surface,Image 1,1,2094,
62.8802,µm,Surface,Image 1,1,2096,
46.1802,µm,Surface,Image 1,1,2097,
51.7536,µm,Surface,Image 1,1,2099,
35.0736,µm,Surface,Image 1,1,2101,
27.999,µm,Surface,Image 1,1,2103,
25.6182,µm,Surface,Image 1,1,2106,
22.5675,µm,Surface,Image 1,1,2108,
21.1104,µm,Surface,Image 1,1,2113,
14.8801,µm,Surface,Image 1,1,2114,
14.1097,µm,Surface,Image 1,1,2115,
48.2865,µm,Surface,Image 1,1,2133,
10.3549,µm,Surface,Image 1,1,2138,
20.2623,µm,Surface,Image 1,1,2147,
18.9843,µm,Surface,Image 1,1,2150,
50.5817,µm,Surface,Image 1,1,2156,
15.5447,µm,Surface,Image 1,1,2158,
14.2391,µm,Surface,Image 1,1,2159,
21.2407,µm,Surface,Image 1,1,2160,
47.8196,µm,Surface,Image 1,1,2161,
46.7662,µm,Surface,Image 1,1,2164,
46.5974,µm,Surface,Image 1,1,2166,
71.6999,µm,Surface,Image 1,1,2168,
48.1554,µm,Surface,Image 1,1,2170,
29.5931,µm,Surface,Image 1,1,2171,
76.6853,µm,Surface,Image 1,1,2173,
87.3356,µm,Surface,Image 1,1,2174,
62.5324,µm,Surface,Image 1,1,2176,
93.7725,µm,Surface,Image 1,1,2181,
40.9105,µm,Surface,Image 1,1,2187,
73.2474,µm,Surface,Image 1,1,2189,
74.7163,µm,Surface,Image 1,1,2193,
24.4524,µm,Surface,Image 1,1,2204,
93.4916,µm,Surface,Image 1,1,2210,
21.8236,µm,Surface,Image 1,1,2214,
82.586,µm,Surface,Image 1,1,2216,
74.4966,µm,Surface,Image 1,1,2225,
44.3483,µm,Surface,Image 1,1,2234,
76.3928,µm,Surface,Image 1,1,2235,
117.783,µm,Surface,Image 1,1,2257,
89.6271,µm,Surface,Image 1,1,2258,
92.6049,µm,Surface,Image 1,1,2259,
82.2426,µm,Surface,Image 1,1,2260,
100.333,µm,Surface,Image 1,1,2263,
108.243,µm,Surface,Image 1,1,2264,
96.9957,µm,Surface,Image 1,1,2265,
97.3003,µm,Surface,Image 1,1,2266,
0.559021,µm,Surface,Image 1,1,2275,
128.005,µm,Surface,Image 1,1,2276,
131.324,µm,Surface,Image 1,1,2284,
121.855,µm,Surface,Image 1,1,2294,
148.086,µm,Surface,Image 1,1,2299,
58.5854,µm,Surface,Image 1,1,2307,
74.7552,µm,Surface,Image 1,1,2310,
160.123,µm,Surface,Image 1,1,2314,
144.257,µm,Surface,Image 1,1,2317,
156.287,µm,Surface,Image 1,1,2318,
1.54449,µm,Surface,Image 1,1,2319,
151.548,µm,Surface,Image 1,1,2320,
85.4102,µm,Surface,Image 1,1,2331,
6.80841,µm,Surface,Image 1,1,2332,
110.515,µm,Surface,Image 1,1,2337,
82.6678,µm,Surface,Image 1,1,2339,
27.9692,µm,Surface,Image 1,1,2354,
