
Intensity Max Ch=34 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
819,,Surface,34,Image 1,1,1791,
503,,Surface,34,Image 1,1,1792,
21,,Surface,34,Image 1,1,1794,
97,,Surface,34,Image 1,1,1802,
307,,Surface,34,Image 1,1,1808,
95,,Surface,34,Image 1,1,1812,
998,,Surface,34,Image 1,1,1815,
691,,Surface,34,Image 1,1,1816,
228,,Surface,34,Image 1,1,1820,
101,,Surface,34,Image 1,1,1832,
560,,Surface,34,Image 1,1,1835,
205,,Surface,34,Image 1,1,1845,
29,,Surface,34,Image 1,1,1846,
193,,Surface,34,Image 1,1,1848,
361,,Surface,34,Image 1,1,1856,
123,,Surface,34,Image 1,1,1860,
141,,Surface,34,Image 1,1,1866,
137,,Surface,34,Image 1,1,1867,
93,,Surface,34,Image 1,1,1868,
90,,Surface,34,Image 1,1,1871,
457,,Surface,34,Image 1,1,1872,
981,,Surface,34,Image 1,1,1875,
148,,Surface,34,Image 1,1,1878,
300,,Surface,34,Image 1,1,1879,
163,,Surface,34,Image 1,1,1882,
205,,Surface,34,Image 1,1,1885,
149,,Surface,34,Image 1,1,1886,
404,,Surface,34,Image 1,1,1887,
204,,Surface,34,Image 1,1,1890,
108,,Surface,34,Image 1,1,1891,
178,,Surface,34,Image 1,1,1892,
11,,Surface,34,Image 1,1,1897,
134,,Surface,34,Image 1,1,1901,
73,,Surface,34,Image 1,1,1904,
310,,Surface,34,Image 1,1,1906,
404,,Surface,34,Image 1,1,1907,
42,,Surface,34,Image 1,1,1917,
17,,Surface,34,Image 1,1,1920,
153,,Surface,34,Image 1,1,1922,
9,,Surface,34,Image 1,1,1936,
1272,,Surface,34,Image 1,1,1939,
123,,Surface,34,Image 1,1,1941,
124,,Surface,34,Image 1,1,1943,
68,,Surface,34,Image 1,1,1948,
197,,Surface,34,Image 1,1,1949,
820,,Surface,34,Image 1,1,1952,
1009,,Surface,34,Image 1,1,1955,
543,,Surface,34,Image 1,1,1956,
121,,Surface,34,Image 1,1,1966,
0,,Surface,34,Image 1,1,1969,
215,,Surface,34,Image 1,1,1970,
398,,Surface,34,Image 1,1,1974,
563,,Surface,34,Image 1,1,1977,
391,,Surface,34,Image 1,1,1988,
356,,Surface,34,Image 1,1,1990,
235,,Surface,34,Image 1,1,1992,
418,,Surface,34,Image 1,1,1993,
458,,Surface,34,Image 1,1,1997,
1112,,Surface,34,Image 1,1,2001,
183,,Surface,34,Image 1,1,2006,
148,,Surface,34,Image 1,1,2010,
242,,Surface,34,Image 1,1,2013,
1065,,Surface,34,Image 1,1,2016,
403,,Surface,34,Image 1,1,2020,
17,,Surface,34,Image 1,1,2021,
51,,Surface,34,Image 1,1,2023,
143,,Surface,34,Image 1,1,2025,
133,,Surface,34,Image 1,1,2026,
92,,Surface,34,Image 1,1,2030,
254,,Surface,34,Image 1,1,2031,
452,,Surface,34,Image 1,1,2035,
368,,Surface,34,Image 1,1,2040,
231,,Surface,34,Image 1,1,2050,
178,,Surface,34,Image 1,1,2051,
127,,Surface,34,Image 1,1,2052,
59,,Surface,34,Image 1,1,2054,
818,,Surface,34,Image 1,1,2055,
92,,Surface,34,Image 1,1,2058,
14,,Surface,34,Image 1,1,2061,
144,,Surface,34,Image 1,1,2064,
820,,Surface,34,Image 1,1,2065,
258,,Surface,34,Image 1,1,2068,
137,,Surface,34,Image 1,1,2070,
149,,Surface,34,Image 1,1,2074,
166,,Surface,34,Image 1,1,2076,
161,,Surface,34,Image 1,1,2079,
528,,Surface,34,Image 1,1,2090,
44,,Surface,34,Image 1,1,2092,
620,,Surface,34,Image 1,1,2094,
184,,Surface,34,Image 1,1,2096,
183,,Surface,34,Image 1,1,2097,
252,,Surface,34,Image 1,1,2099,
69,,Surface,34,Image 1,1,2101,
101,,Surface,34,Image 1,1,2103,
88,,Surface,34,Image 1,1,2106,
239,,Surface,34,Image 1,1,2108,
192,,Surface,34,Image 1,1,2113,
100,,Surface,34,Image 1,1,2114,
201,,Surface,34,Image 1,1,2115,
1355,,Surface,34,Image 1,1,2133,
329,,Surface,34,Image 1,1,2138,
172,,Surface,34,Image 1,1,2147,
47,,Surface,34,Image 1,1,2150,
86,,Surface,34,Image 1,1,2156,
11,,Surface,34,Image 1,1,2158,
86,,Surface,34,Image 1,1,2159,
39,,Surface,34,Image 1,1,2160,
226,,Surface,34,Image 1,1,2161,
364,,Surface,34,Image 1,1,2164,
93,,Surface,34,Image 1,1,2166,
181,,Surface,34,Image 1,1,2168,
412,,Surface,34,Image 1,1,2170,
136,,Surface,34,Image 1,1,2171,
107,,Surface,34,Image 1,1,2173,
217,,Surface,34,Image 1,1,2174,
440,,Surface,34,Image 1,1,2176,
48,,Surface,34,Image 1,1,2181,
82,,Surface,34,Image 1,1,2187,
174,,Surface,34,Image 1,1,2189,
63,,Surface,34,Image 1,1,2193,
496,,Surface,34,Image 1,1,2204,
228,,Surface,34,Image 1,1,2210,
1526,,Surface,34,Image 1,1,2214,
42,,Surface,34,Image 1,1,2216,
162,,Surface,34,Image 1,1,2225,
2621,,Surface,34,Image 1,1,2234,
43,,Surface,34,Image 1,1,2235,
661,,Surface,34,Image 1,1,2257,
127,,Surface,34,Image 1,1,2258,
117,,Surface,34,Image 1,1,2259,
606,,Surface,34,Image 1,1,2260,
257,,Surface,34,Image 1,1,2263,
71,,Surface,34,Image 1,1,2264,
137,,Surface,34,Image 1,1,2265,
562,,Surface,34,Image 1,1,2266,
1756,,Surface,34,Image 1,1,2275,
216,,Surface,34,Image 1,1,2276,
285,,Surface,34,Image 1,1,2284,
158,,Surface,34,Image 1,1,2294,
105,,Surface,34,Image 1,1,2299,
386,,Surface,34,Image 1,1,2307,
1022,,Surface,34,Image 1,1,2310,
392,,Surface,34,Image 1,1,2314,
110,,Surface,34,Image 1,1,2317,
1354,,Surface,34,Image 1,1,2318,
179,,Surface,34,Image 1,1,2319,
711,,Surface,34,Image 1,1,2320,
320,,Surface,34,Image 1,1,2331,
580,,Surface,34,Image 1,1,2332,
144,,Surface,34,Image 1,1,2337,
778,,Surface,34,Image 1,1,2339,
288,,Surface,34,Image 1,1,2354,
319,,Surface,34,Image 1,1,2368,
447,,Surface,34,Image 1,1,2369,
95,,Surface,34,Image 1,1,2375,
559,,Surface,34,Image 1,1,2380,
195,,Surface,34,Image 1,1,2398,
90,,Surface,34,Image 1,1,2403,
1235,,Surface,34,Image 1,1,2405,
373,,Surface,34,Image 1,1,2409,
344,,Surface,34,Image 1,1,2420,
55,,Surface,34,Image 1,1,2422,
536,,Surface,34,Image 1,1,2426,
303,,Surface,34,Image 1,1,2428,
462,,Surface,34,Image 1,1,2434,
96,,Surface,34,Image 1,1,2438,
511,,Surface,34,Image 1,1,2439,
7,,Surface,34,Image 1,1,2440,
426,,Surface,34,Image 1,1,2441,
42,,Surface,34,Image 1,1,2442,
551,,Surface,34,Image 1,1,2444,
276,,Surface,34,Image 1,1,2453,
1028,,Surface,34,Image 1,1,2458,
169,,Surface,34,Image 1,1,2464,
334,,Surface,34,Image 1,1,2469,
153,,Surface,34,Image 1,1,2476,
511,,Surface,34,Image 1,1,2484,
1070,,Surface,34,Image 1,1,2489,
1541,,Surface,34,Image 1,1,2494,
826,,Surface,34,Image 1,1,2495,
585,,Surface,34,Image 1,1,2496,
478,,Surface,34,Image 1,1,2497,
282,,Surface,34,Image 1,1,2498,
546,,Surface,34,Image 1,1,2499,
