
Intensity Median Ch=27 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
264,,Surface,27,Image 1,1,1180,
436,,Surface,27,Image 1,1,1181,
370,,Surface,27,Image 1,1,1183,
0.25,,Surface,27,Image 1,1,1185,
204,,Surface,27,Image 1,1,1190,
254,,Surface,27,Image 1,1,1192,
348,,Surface,27,Image 1,1,1194,
292,,Surface,27,Image 1,1,1195,
244,,Surface,27,Image 1,1,1196,
684,,Surface,27,Image 1,1,1197,
0.5,,Surface,27,Image 1,1,1198,
424,,Surface,27,Image 1,1,1201,
404,,Surface,27,Image 1,1,1203,
322,,Surface,27,Image 1,1,1205,
444,,Surface,27,Image 1,1,1206,
380,,Surface,27,Image 1,1,1209,
424,,Surface,27,Image 1,1,1212,
308,,Surface,27,Image 1,1,1213,
346,,Surface,27,Image 1,1,1214,
456,,Surface,27,Image 1,1,1215,
428,,Surface,27,Image 1,1,1216,
163,,Surface,27,Image 1,1,1217,
364,,Surface,27,Image 1,1,1218,
138,,Surface,27,Image 1,1,1224,
436,,Surface,27,Image 1,1,1226,
380,,Surface,27,Image 1,1,1232,
372,,Surface,27,Image 1,1,1234,
324,,Surface,27,Image 1,1,1237,
412,,Surface,27,Image 1,1,1238,
0.125,,Surface,27,Image 1,1,1242,
426,,Surface,27,Image 1,1,1245,
388,,Surface,27,Image 1,1,1247,
139,,Surface,27,Image 1,1,1248,
680,,Surface,27,Image 1,1,1251,
290,,Surface,27,Image 1,1,1252,
500,,Surface,27,Image 1,1,1253,
230,,Surface,27,Image 1,1,1256,
392,,Surface,27,Image 1,1,1257,
348,,Surface,27,Image 1,1,1258,
500,,Surface,27,Image 1,1,1260,
342,,Surface,27,Image 1,1,1262,
732,,Surface,27,Image 1,1,1263,
300,,Surface,27,Image 1,1,1265,
460,,Surface,27,Image 1,1,1266,
380,,Surface,27,Image 1,1,1267,
310,,Surface,27,Image 1,1,1268,
260,,Surface,27,Image 1,1,1269,
340,,Surface,27,Image 1,1,1271,
436,,Surface,27,Image 1,1,1272,
468,,Surface,27,Image 1,1,1273,
504,,Surface,27,Image 1,1,1274,
376,,Surface,27,Image 1,1,1276,
272,,Surface,27,Image 1,1,1277,
170,,Surface,27,Image 1,1,1278,
258,,Surface,27,Image 1,1,1279,
488,,Surface,27,Image 1,1,1281,
236,,Surface,27,Image 1,1,1282,
648,,Surface,27,Image 1,1,1287,
372,,Surface,27,Image 1,1,1290,
252,,Surface,27,Image 1,1,1292,
812,,Surface,27,Image 1,1,1293,
290,,Surface,27,Image 1,1,1295,
300,,Surface,27,Image 1,1,1298,
219,,Surface,27,Image 1,1,1302,
0.25,,Surface,27,Image 1,1,1308,
2,,Surface,27,Image 1,1,1313,
284,,Surface,27,Image 1,1,1318,
472,,Surface,27,Image 1,1,1320,
402,,Surface,27,Image 1,1,1321,
196,,Surface,27,Image 1,1,1322,
274,,Surface,27,Image 1,1,1323,
694,,Surface,27,Image 1,1,1324,
440,,Surface,27,Image 1,1,1326,
182,,Surface,27,Image 1,1,1327,
664,,Surface,27,Image 1,1,1333,
412,,Surface,27,Image 1,1,1334,
342,,Surface,27,Image 1,1,1335,
207,,Surface,27,Image 1,1,1337,
