
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
793.051,µm,Surface,Distance from Origin,1,834,
809.732,µm,Surface,Distance from Origin,1,835,
794.386,µm,Surface,Distance from Origin,1,836,
802.617,µm,Surface,Distance from Origin,1,838,
793.244,µm,Surface,Distance from Origin,1,840,
796.194,µm,Surface,Distance from Origin,1,841,
795.072,µm,Surface,Distance from Origin,1,843,
794.465,µm,Surface,Distance from Origin,1,844,
797.935,µm,Surface,Distance from Origin,1,846,
798.22,µm,Surface,Distance from Origin,1,848,
812.132,µm,Surface,Distance from Origin,1,849,
808.621,µm,Surface,Distance from Origin,1,851,
804.936,µm,Surface,Distance from Origin,1,852,
801.666,µm,Surface,Distance from Origin,1,853,
796.972,µm,Surface,Distance from Origin,1,854,
800.954,µm,Surface,Distance from Origin,1,855,
801.525,µm,Surface,Distance from Origin,1,856,
807.041,µm,Surface,Distance from Origin,1,857,
802.399,µm,Surface,Distance from Origin,1,859,
818.307,µm,Surface,Distance from Origin,1,861,
797.185,µm,Surface,Distance from Origin,1,862,
814.443,µm,Surface,Distance from Origin,1,863,
806.093,µm,Surface,Distance from Origin,1,866,
795.553,µm,Surface,Distance from Origin,1,867,
797.513,µm,Surface,Distance from Origin,1,869,
808.691,µm,Surface,Distance from Origin,1,871,
802.247,µm,Surface,Distance from Origin,1,872,
791.061,µm,Surface,Distance from Origin,1,873,
803.44,µm,Surface,Distance from Origin,1,875,
823.167,µm,Surface,Distance from Origin,1,877,
803.955,µm,Surface,Distance from Origin,1,878,
802.834,µm,Surface,Distance from Origin,1,879,
794.578,µm,Surface,Distance from Origin,1,880,
811.523,µm,Surface,Distance from Origin,1,881,
802.616,µm,Surface,Distance from Origin,1,882,
801.577,µm,Surface,Distance from Origin,1,886,
800.996,µm,Surface,Distance from Origin,1,887,
796.678,µm,Surface,Distance from Origin,1,888,
818.838,µm,Surface,Distance from Origin,1,890,
801.724,µm,Surface,Distance from Origin,1,891,
811.759,µm,Surface,Distance from Origin,1,892,
815.605,µm,Surface,Distance from Origin,1,893,
806.581,µm,Surface,Distance from Origin,1,894,
802.775,µm,Surface,Distance from Origin,1,895,
812.291,µm,Surface,Distance from Origin,1,896,
808.094,µm,Surface,Distance from Origin,1,898,
798.406,µm,Surface,Distance from Origin,1,900,
798.025,µm,Surface,Distance from Origin,1,902,
818.543,µm,Surface,Distance from Origin,1,903,
795.079,µm,Surface,Distance from Origin,1,905,
801.286,µm,Surface,Distance from Origin,1,906,
802.499,µm,Surface,Distance from Origin,1,911,
798.853,µm,Surface,Distance from Origin,1,912,
821.884,µm,Surface,Distance from Origin,1,914,
805.072,µm,Surface,Distance from Origin,1,915,
828.982,µm,Surface,Distance from Origin,1,917,
812.274,µm,Surface,Distance from Origin,1,920,
822.415,µm,Surface,Distance from Origin,1,921,
807.565,µm,Surface,Distance from Origin,1,923,
825.332,µm,Surface,Distance from Origin,1,924,
821.617,µm,Surface,Distance from Origin,1,925,
820.071,µm,Surface,Distance from Origin,1,926,
810.39,µm,Surface,Distance from Origin,1,927,
816.411,µm,Surface,Distance from Origin,1,929,
824.13,µm,Surface,Distance from Origin,1,930,
829.872,µm,Surface,Distance from Origin,1,932,
776.254,µm,Surface,Distance from Origin,1,939,
794.305,µm,Surface,Distance from Origin,1,942,
789.998,µm,Surface,Distance from Origin,1,944,
798.691,µm,Surface,Distance from Origin,1,945,
795.116,µm,Surface,Distance from Origin,1,947,
773.458,µm,Surface,Distance from Origin,1,948,
773.733,µm,Surface,Distance from Origin,1,952,
781.644,µm,Surface,Distance from Origin,1,955,
800.145,µm,Surface,Distance from Origin,1,957,
796.829,µm,Surface,Distance from Origin,1,958,
775.622,µm,Surface,Distance from Origin,1,961,
807.53,µm,Surface,Distance from Origin,1,963,
773.769,µm,Surface,Distance from Origin,1,964,
779.491,µm,Surface,Distance from Origin,1,966,
771.407,µm,Surface,Distance from Origin,1,969,
770.011,µm,Surface,Distance from Origin,1,972,
789.263,µm,Surface,Distance from Origin,1,973,
770.506,µm,Surface,Distance from Origin,1,974,
788.511,µm,Surface,Distance from Origin,1,975,
769.024,µm,Surface,Distance from Origin,1,976,
776.924,µm,Surface,Distance from Origin,1,977,
800.88,µm,Surface,Distance from Origin,1,978,
788.218,µm,Surface,Distance from Origin,1,979,
772.266,µm,Surface,Distance from Origin,1,980,
781.935,µm,Surface,Distance from Origin,1,981,
776.615,µm,Surface,Distance from Origin,1,982,
786.185,µm,Surface,Distance from Origin,1,984,
783.643,µm,Surface,Distance from Origin,1,985,
791.385,µm,Surface,Distance from Origin,1,986,
805,µm,Surface,Distance from Origin,1,987,
787.138,µm,Surface,Distance from Origin,1,988,
778.219,µm,Surface,Distance from Origin,1,989,
