
Intensity Median Ch=9 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
5864,,Surface,9,Image 1,1,7334,
4888,,Surface,9,Image 1,1,7335,
2846,,Surface,9,Image 1,1,7336,
1314,,Surface,9,Image 1,1,7337,
7696,,Surface,9,Image 1,1,7338,
4236,,Surface,9,Image 1,1,7339,
1252,,Surface,9,Image 1,1,7340,
2458,,Surface,9,Image 1,1,7341,
506,,Surface,9,Image 1,1,7342,
8544,,Surface,9,Image 1,1,7343,
1792,,Surface,9,Image 1,1,7344,
2,,Surface,9,Image 1,1,7345,
3976,,Surface,9,Image 1,1,7346,
2903,,Surface,9,Image 1,1,7347,
2600,,Surface,9,Image 1,1,7348,
3772,,Surface,9,Image 1,1,7349,
3544,,Surface,9,Image 1,1,7350,
5420,,Surface,9,Image 1,1,7351,
1012,,Surface,9,Image 1,1,7353,
506,,Surface,9,Image 1,1,7354,
5394,,Surface,9,Image 1,1,7355,
1076,,Surface,9,Image 1,1,7356,
3112,,Surface,9,Image 1,1,7357,
1258,,Surface,9,Image 1,1,7358,
906,,Surface,9,Image 1,1,7359,
5108,,Surface,9,Image 1,1,7360,
4858,,Surface,9,Image 1,1,7361,
56,,Surface,9,Image 1,1,7362,
3236,,Surface,9,Image 1,1,7363,
1220,,Surface,9,Image 1,1,7364,
1062,,Surface,9,Image 1,1,7365,
563,,Surface,9,Image 1,1,7366,
2342,,Surface,9,Image 1,1,7367,
4708,,Surface,9,Image 1,1,7368,
1303,,Surface,9,Image 1,1,7369,
968,,Surface,9,Image 1,1,7370,
3870,,Surface,9,Image 1,1,7371,
1580,,Surface,9,Image 1,1,7372,
3732,,Surface,9,Image 1,1,7373,
6092,,Surface,9,Image 1,1,7374,
2176,,Surface,9,Image 1,1,7375,
242,,Surface,9,Image 1,1,7376,
3756,,Surface,9,Image 1,1,7377,
5278,,Surface,9,Image 1,1,7378,
6792,,Surface,9,Image 1,1,7380,
2,,Surface,9,Image 1,1,7381,
2334,,Surface,9,Image 1,1,7382,
2960,,Surface,9,Image 1,1,7383,
1368,,Surface,9,Image 1,1,7384,
