
Intensity Sum of Square Ch=39 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
4.59522e+06,,Surface,39,Image 1,1,6998,
1.95404e+06,,Surface,39,Image 1,1,6999,
2.98122e+08,,Surface,39,Image 1,1,7000,
6.71346e+06,,Surface,39,Image 1,1,7001,
8.73055e+07,,Surface,39,Image 1,1,7002,
1.26379e+08,,Surface,39,Image 1,1,7003,
1.25951e+07,,Surface,39,Image 1,1,7004,
1.70067e+06,,Surface,39,Image 1,1,7005,
2.59981e+07,,Surface,39,Image 1,1,7006,
2.04748e+08,,Surface,39,Image 1,1,7007,
1.69458e+09,,Surface,39,Image 1,1,7008,
382094,,Surface,39,Image 1,1,7009,
1.86877e+09,,Surface,39,Image 1,1,7011,
1.72737e+09,,Surface,39,Image 1,1,7012,
1.90081e+07,,Surface,39,Image 1,1,7013,
2.54683e+09,,Surface,39,Image 1,1,7014,
5.42189e+09,,Surface,39,Image 1,1,7015,
1.033e+08,,Surface,39,Image 1,1,7016,
1.49577e+06,,Surface,39,Image 1,1,7017,
1.55282e+07,,Surface,39,Image 1,1,7018,
8.1459e+07,,Surface,39,Image 1,1,7019,
9.02626e+07,,Surface,39,Image 1,1,7020,
6.72108e+07,,Surface,39,Image 1,1,7021,
3.90185e+07,,Surface,39,Image 1,1,7022,
1.79467e+09,,Surface,39,Image 1,1,7023,
9.61363e+08,,Surface,39,Image 1,1,7024,
6.34904e+06,,Surface,39,Image 1,1,7025,
7.52015e+08,,Surface,39,Image 1,1,7026,
2.08095e+09,,Surface,39,Image 1,1,7027,
3.35155e+08,,Surface,39,Image 1,1,7028,
2.24266e+07,,Surface,39,Image 1,1,7029,
7.13795e+08,,Surface,39,Image 1,1,7030,
5.33184e+07,,Surface,39,Image 1,1,7031,
3.54094e+06,,Surface,39,Image 1,1,7032,
4.21521e+09,,Surface,39,Image 1,1,7033,
3.40954e+07,,Surface,39,Image 1,1,7035,
5.73855e+08,,Surface,39,Image 1,1,7036,
59564,,Surface,39,Image 1,1,7037,
9.13086e+07,,Surface,39,Image 1,1,7038,
1.48327e+06,,Surface,39,Image 1,1,7039,
7.04658e+07,,Surface,39,Image 1,1,7040,
5.11402e+08,,Surface,39,Image 1,1,7041,
6.67133e+06,,Surface,39,Image 1,1,7042,
2.90596e+08,,Surface,39,Image 1,1,7043,
6.46041e+07,,Surface,39,Image 1,1,7044,
1.40944e+06,,Surface,39,Image 1,1,7045,
6.07592e+06,,Surface,39,Image 1,1,7046,
5.07881e+07,,Surface,39,Image 1,1,7047,
1.11654e+09,,Surface,39,Image 1,1,7048,
5.5426e+07,,Surface,39,Image 1,1,7049,
3.9931e+08,,Surface,39,Image 1,1,7050,
3.36329e+08,,Surface,39,Image 1,1,7051,
2.09739e+09,,Surface,39,Image 1,1,7052,
1.03451e+09,,Surface,39,Image 1,1,7053,
4.25616e+09,,Surface,39,Image 1,1,7056,
1.86017e+07,,Surface,39,Image 1,1,7057,
6.28103e+07,,Surface,39,Image 1,1,7058,
4.83172e+09,,Surface,39,Image 1,1,7060,
793356,,Surface,39,Image 1,1,7061,
6.43212e+07,,Surface,39,Image 1,1,7062,
3.06664e+08,,Surface,39,Image 1,1,7063,
3.44639e+07,,Surface,39,Image 1,1,7064,
793360,,Surface,39,Image 1,1,7065,
1.16183e+07,,Surface,39,Image 1,1,7066,
5.49357e+07,,Surface,39,Image 1,1,7067,
1.28241e+08,,Surface,39,Image 1,1,7068,
8.70879e+06,,Surface,39,Image 1,1,7069,
1.67453e+08,,Surface,39,Image 1,1,7070,
